10 interesting moves

##########NEW##############
Move 63:170s. -50 3 0 45 turn;[4, 5]
Move 62:170s. -50 4 0 44 straight;[]
Move 61:170s. -50 5 0 43 straight;[]
Move 60:170s. -50 -1 0 42 straight;[]
Move 59:160s. -43 5 0 42 straight;[]
Move 58:160s. -43 4 0 41 straight;[]
Move 57:160s. -43 3 0 40 straight;[]
Move 56:160s. -43 0 3 39 turn;[1, 2]
Move 55:160s. -43 0 2 39 turn;[1, 2]
Move 54:160s. -43 2 1 39 turn;[1, 2]
Move 53:160s. -43 1 0 38 straight;[]
Move 52:160s. -43 -1 0 37 straight;[]
Move 51:110s. -37 0 0 37 straight;[]
Move 50:110s. -37 0 0 36 straight;[]
Move 49:110s. -37 1 0 35 turn;[1, 2]
Move 48:110s. -37 2 0 34 straight;[]
Move 47:110s. -37 3 0 33 straight;[]
Move 46:110s. -37 4 0 32 straight;[]
Move 45:110s. -37 -1 0 31 straight;[]
Move 44:100s. -32 5 0 31 straight;[]
Move 43:100s. -32 4 0 30 straight;[]
Move 42:100s. -32 0 3 29 turn;[2, 3]
Move 41:100s. -32 0 2 29 turn;[2, 3]
Move 40:100s. -32 3 1 29 turn;[2, 3]
Move 39:100s. -32 -1 0 28 straight;[]
Move 38:80s. -28 0 0 28 straight;[]
Move 37:80s. -28 0 0 27 straight;[]
Move 36:80s. -28 4 0 26 straight;[]
Move 35:80s. -28 5 0 25 straight;[]
Move 34:80s. -28 -1 3 24 turn;[4, 5]
Move 33:70s. -24 0 3 24 turn;[4, 5]
Move 32:70s. -24 0 2 24 turn;[4, 5]
Move 31:70s. -24 5 1 24 turn;[4, 5]
Move 30:70s. -24 4 0 23 straight;[]
Move 29:70s. -24 -1 0 22 straight;[]
Move 28:60s. -18 5 0 22 straight;[]
Move 27:60s. -18 4 0 21 straight;[]
Move 26:60s. -18 0 9 20 k_turn;[2, 3, 3]
Move 25:60s. -18 0 0 19 straight;[]
Move 24:60s. -18 3 0 18 straight;[]
Move 23:60s. -18 2 0 17 turn;[2, 3]
Move 22:60s. -18 -1 0 16 straight;[]
Move 21:30s. -13 0 0 16 straight;[]
Move 20:30s. -13 3 0 15 turn;[3, 4]
Move 19:30s. -13 0 1 15 turn;[3, 4]
Move 18:30s. -13 4 0 14 straight;[]
Move 17:30s. -13 5 0 13 straight;[]
Move 16:30s. -13 -1 3 12 turn;[4, 5]
Move 15:20s. -10 0 3 12 turn;[4, 5]
Move 14:20s. -10 0 2 12 turn;[4, 5]
Move 13:20s. -10 5 1 12 turn;[4, 5]
Move 12:20s. -10 -1 0 11 straight;[]
Move 11:10s. -7 5 0 11 straight;[]
Move 10:10s. -7 0 9 10 k_turn;[3, 4, 4]
Move 9:10s. -7 4 0 9 straight;[]
Move 8:10s. -7 -1 0 8 straight;[]
Move 7:0s. -0 5 0 8 straight;[]
Move 6:0s. -0 0 0 7 straight;[]
Move 5:0s. -0 0 0 4 straight;[]
Move 4:0s. -0 4 0 3 straight;[]
Move 3:0s. -0 3 0 2 straight;[]
Move 2:0s. -0 2 0 1 short_k_turn;[4, 5, 5]
Move 1:0s. -0 1 0 0 straight;[]
Move 0:0s. -0 -1 0 -1 straight;[]
##########NEW##############
Move 93:280s. -78 -1 0 72 straight;[]
Move 92:270s. -76 0 0 72 straight;[]
Move 91:270s. -76 5 0 71 straight;[]
Move 90:270s. -76 -1 0 68 straight;[]
Move 89:260s. -69 5 0 68 straight;[]
Move 88:260s. -69 4 0 67 straight;[]
Move 87:260s. -69 3 0 66 straight;[]
Move 86:260s. -69 2 0 65 straight;[]
Move 85:260s. -69 0 0 64 turn;[1, 2]
Move 84:260s. -69 0 0 63 straight;[]
Move 83:260s. -69 1 0 62 straight;[]
Move 82:260s. -69 -1 0 61 straight;[]
